Year,Province name,District Number,Election,registered_voters,valid_votes,invalid_votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes,Elected to the presidency,Percentage of valid votes,District number,Number of valid votes for each candidate pair,V12,Validation,V14,V15
2024,Jambi,,President & Vice President,2676107,2205808,54425,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1438952,,,,
2024,Jambi,,President & Vice President,2676107,2205808,54425,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,234251,,,,
2024,Jawa Barat,,President & Vice President,35714901,28726523,711518,"",,,,,1,,,,,
2024,Jawa Barat,,President & Vice President,35714901,28726523,711518,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,9099674,,0,,
2024,Jawa Barat,,President & Vice President,35714901,28726523,711518,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,16805854,,,,
2024,Jawa Barat,,President & Vice President,35714901,28726523,711518,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,2820995,,,,
2024,Jawa Tengah,,President & Vice President,26021042,22790162,685649,"",,,,,1,,,,,
2024,Jawa Tengah,,President & Vice President,26021042,22790162,685649,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,2866373,,0,,
2024,Jawa Tengah,,President & Vice President,26021042,22790162,685649,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,12096454,,,,
2024,Jawa Tengah,,President & Vice President,26021042,22790162,685649,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,7827335,,,,
2024,Jawa Timur,,President & Vice President,27657486,25644060,895661,"",,,,,1,,,,,
2024,Jawa Timur,,President & Vice President,27657486,25644060,895661,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,4492652,,0,,
2024,Jawa Timur,,President & Vice President,27657486,25644060,895661,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,16716603,,,,
2024,Jawa Timur,,President & Vice President,27657486,25644060,895661,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,4434805,,,,
2024,Kalimantan Barat,,President & Vice President,3958561,3217274,60541,"",,,,,1,,,,,
2024,Kalimantan Barat,,President & Vice President,3958561,3217274,60541,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,718641,,0,,
2024,Kalimantan Barat,,President & Vice President,3958561,3217274,60541,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1964183,,,,
2024,Kalimantan Barat,,President & Vice President,3958561,3217274,60541,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,534450,,,,
2024,Kalimantan Selatan,,President & Vice President,3025220,2417582,118901,"",,,,,1,,,,,
2024,Kalimantan Selatan,,President & Vice President,3025220,2417582,118901,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,849948,,0,,
2024,Kalimantan Selatan,,President & Vice President,3025220,2417582,118901,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1407684,,,,
2024,Kalimantan Selatan,,President & Vice President,3025220,2417582,118901,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,159950,,,,
2024,Kalimantan Tengah,,President & Vice President,1935116,1512669,40523,"",,,,,1,,,,,
2024,Kalimantan Tengah,,President & Vice President,1935116,1512669,40523,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,256811,,0,,
2024,Kalimantan Tengah,,President & Vice President,1935116,1512669,40523,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1097070,,,,
2024,Kalimantan Tengah,,President & Vice President,1935116,1512669,40523,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,158788,,,,
2024,Kalimantan Timur,,President & Vice President,2778644,2230535,47506,"",,,,,1,,,,,
2024,Kalimantan Timur,,President & Vice President,2778644,2230535,47506,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,448046,,0,,
2024,Kalimantan Timur,,President & Vice President,2778644,2230535,47506,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1542346,,,,
2024,Kalimantan Timur,,President & Vice President,2778644,2230535,47506,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,240143,,,,
2024,Kalimantan Utara,,President & Vice President,504252,407725,5407,"",,,,,1,,,,,
2024,Kalimantan Utara,,President & Vice President,504252,407725,5407,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,72065,,0,,
2024,Kalimantan Utara,,President & Vice President,504252,407725,5407,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,284209,,,,
2024,Kalimantan Utara,,President & Vice President,504252,407725,5407,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,51451,,,,
2024,Bangka Belitung,,President & Vice President,1067434,885340,30938,"",,,,,1,,,,,
2024,Bangka Belitung,,President & Vice President,1067434,885340,30938,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,204348,,0,,
2024,Bangka Belitung,,President & Vice President,1067434,885340,30938,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,529883,,,,
2024,Bangka Belitung,,President & Vice President,1067434,885340,30938,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,151109,,,,
2024,KEP.Riau,,President & Vice President,1500974,1152792,19041,"",,,,,1,,,,,
2024,KEP.Riau,,President & Vice President,1500974,1152792,19041,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,370671,,0,,
2024,KEP.Riau,,President & Vice President,1500974,1152792,19041,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,641388,,,,
2024,KEP.Riau,,President & Vice President,1500974,1152792,19041,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,140733,,,,
2024,Lampung,,President & Vice President,6539128,5110688,95620,"",,,,,1,,,,,
2024,Lampung,,President & Vice President,6539128,5110688,95620,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,791892,,0,,
2024,Lampung,,President & Vice President,6539128,5110688,95620,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,3554310,,,,
2024,Lampung,,President & Vice President,6539128,5110688,95620,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,764486,,,,
2024,Maluku,,President & Vice President,1341012,1080323,15467,"",,,,,1,,,,,
2024,Maluku,,President & Vice President,1341012,1080323,15467,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,228557,,0,,
2024,Maluku,,President & Vice President,1341012,1080323,15467,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,665371,,,,
2024,Maluku,,President & Vice President,1341012,1080323,15467,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,186395,,,,
2024,Maluku Utara,,President & Vice President,953978,746695,12117,"",,,,,1,,,,,
2024,Maluku Utara,,President & Vice President,953978,746695,12117,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,200459,,0,,
2024,Maluku Utara,,President & Vice President,953978,746695,12117,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,454943,,,,
2024,Maluku Utara,,President & Vice President,953978,746695,12117,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,91293,,,,
2024,Nusa Tenggara Barat,,President & Vice President,3918291,3246488,78124,"",,,,,1,,,,,
2024,Nusa Tenggara Barat,,President & Vice President,3918291,3246488,78124,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,850539,,0,,
2024,Nusa Tenggara Barat,,President & Vice President,3918291,3246488,78124,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,2154843,,,,
2024,Nusa Tenggara Barat,,President & Vice President,3918291,3246488,78124,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,241106,,,,
2024,Nusa Tenggara Timur,,President & Vice President,4008475,2910704,44092,"",,,,,1,,,,,
2024,Nusa Tenggara Timur,,President & Vice President,4008475,2910704,44092,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,153446,,0,,
