Year,Province name,District number,Election,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,"""Province name""",Total Valid votes in district,Invalid votes
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Demokrasi Indonesia Perjuangan,4,615225,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Golongan Karya,5,143048,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Gerakan Indonesia Raya,6,201376,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Demokrat,7,92272,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Amanat Nasional,8,62146,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Persatuan Pembangunan,9,173436,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Hati Nurani Rakyat,10,117344,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Bulan Bintang,14,16280,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Keadilan dan Persatuan Indonesia,15,7940,Province name,,
2014,Gorontalo,1,DPR,798,637,27,"",,,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Nasional Demokrat,1,20930,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Kebangkitan Bangsa,2,13285,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Keadilan Sejahtera,3,26499,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Demokrasi Indonesia Perjuangan,4,40606,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Golongan Karya,5,310790,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Gerakan Indonesia Raya,6,49342,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Demokrat,7,47662,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Amanat Nasional,8,41222,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Persatuan Pembangunan,9,31114,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Hati Nurani Rakyat,10,36640,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Bulan Bintang,14,16172,Province name,,
2014,Gorontalo,1,DPR,798,637,27,Partai Keadilan dan Persatuan Indonesia,15,2392,Province name,,
2014,Jambi,1,DPR,72,46,10,"",,,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Nasional Demokrat,1,98336,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Kebangkitan Bangsa,2,105551,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Keadilan Sejahtera,3,70303,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Demokrasi Indonesia Perjuangan,4,274143,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Golongan Karya,5,288724,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Gerakan Indonesia Raya,6,193970,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Demokrat,7,235471,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Amanat Nasional,8,179438,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Persatuan Pembangunan,9,104628,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Hati Nurani Rakyat,10,85439,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Bulan Bintang,14,39203,Province name,,
2014,Jambi,1,DPR,72,46,10,Partai Keadilan dan Persatuan Indonesia,15,16752,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,"",,,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Nasional Demokrat,1,96979,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Kebangkitan Bangsa,2,56098,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Keadilan Sejahtera,3,165442,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Demokrasi Indonesia Perjuangan,4,329095,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Golongan Karya,5,149982,Province name,,
